created_at,entry_id,field1,latitude,longitude,elevation,status
2020-04-09 10:46:47 UTC,1,14.84,,,,
2020-04-09 10:47:19 UTC,2,14.57,,,,
2020-04-09 10:47:51 UTC,3,14.39,,,,
2020-04-09 10:48:22 UTC,4,14.21,,,,
2020-04-09 10:48:54 UTC,5,14.44,,,,
2020-04-09 10:49:26 UTC,6,14.57,,,,
2020-04-09 10:49:57 UTC,7,14.86,,,,
2020-04-09 10:50:29 UTC,8,14.5,,,,
2020-04-09 10:51:01 UTC,9,14.47,,,,
2020-04-09 10:51:32 UTC,10,14.52,,,,
2020-04-09 10:52:04 UTC,11,15.05,,,,
2020-04-09 10:52:36 UTC,12,14.61,,,,
2020-04-09 10:53:08 UTC,13,13.89,,,,
2020-04-09 10:53:39 UTC,14,15.02,,,,
2020-04-09 10:54:11 UTC,15,14.6,,,,
2020-04-09 10:54:43 UTC,16,14.0,,,,
2020-04-09 10:55:14 UTC,17,14.92,,,,
2020-04-09 10:55:46 UTC,18,14.66,,,,
2020-04-09 10:56:18 UTC,19,15.15,,,,
2020-04-09 10:56:50 UTC,20,14.81,,,,
2020-04-09 10:57:21 UTC,21,15.08,,,,
2020-04-09 10:57:53 UTC,22,14.47,,,,
2020-04-09 10:58:25 UTC,23,15.08,,,,
2020-04-09 10:58:57 UTC,24,14.86,,,,
2020-04-09 10:59:28 UTC,25,15.21,,,,
2020-04-09 11:00:00 UTC,26,15.15,,,,
2020-04-09 11:00:32 UTC,27,14.74,,,,
2020-04-09 11:01:04 UTC,28,14.49,,,,
2020-04-09 11:01:35 UTC,29,14.21,,,,
2020-04-09 11:02:07 UTC,30,15.13,,,,
2020-04-09 11:02:39 UTC,31,15.29,,,,
2020-04-09 11:03:11 UTC,32,14.86,,,,
2020-04-09 11:03:42 UTC,33,15.31,,,,
2020-04-09 11:04:14 UTC,34,14.49,,,,
2020-04-09 11:04:46 UTC,35,14.81,,,,
2020-04-09 11:05:17 UTC,36,14.55,,,,
2020-04-09 11:05:49 UTC,37,14.52,,,,
2020-04-09 11:06:21 UTC,38,14.26,,,,
2020-04-09 11:06:52 UTC,39,15.31,,,,
2020-04-09 11:07:24 UTC,40,15.15,,,,
2020-04-09 11:07:56 UTC,41,15.32,,,,
2020-04-09 11:08:28 UTC,42,15.16,,,,
2020-04-09 11:08:59 UTC,43,14.76,,,,
2020-04-09 11:09:31 UTC,44,15.24,,,,
2020-04-09 11:10:03 UTC,45,15.21,,,,
2020-04-09 11:10:35 UTC,46,15.16,,,,
2020-04-09 11:11:06 UTC,47,15.11,,,,
2020-04-09 11:11:38 UTC,48,15.4,,,,
2020-04-09 11:12:10 UTC,49,15.03,,,,
2020-04-09 11:12:41 UTC,50,15.44,,,,
2020-04-09 11:13:13 UTC,51,15.56,,,,
2020-04-09 11:13:45 UTC,52,15.16,,,,
2020-04-09 11:14:16 UTC,53,15.34,,,,
2020-04-09 11:14:48 UTC,54,15.6,,,,
2020-04-09 11:15:20 UTC,55,15.76,,,,
2020-04-09 11:15:52 UTC,56,15.65,,,,
2020-04-09 11:16:23 UTC,57,15.47,,,,
2020-04-09 11:16:55 UTC,58,15.36,,,,
2020-04-09 11:17:27 UTC,59,14.63,,,,
2020-04-09 11:17:59 UTC,60,15.03,,,,
2020-04-09 11:18:31 UTC,61,14.65,,,,
2020-04-09 11:19:02 UTC,62,15.52,,,,
2020-04-09 11:19:34 UTC,63,15.31,,,,
2020-04-09 11:20:06 UTC,64,15.44,,,,
2020-04-09 11:20:38 UTC,65,15.68,,,,
2020-04-09 11:21:09 UTC,66,15.69,,,,
2020-04-09 11:21:41 UTC,67,15.44,,,,
2020-04-09 11:22:13 UTC,68,14.73,,,,
2020-04-09 11:22:45 UTC,69,15.56,,,,
2020-04-09 11:23:16 UTC,70,15.0,,,,
2020-04-09 11:23:48 UTC,71,14.84,,,,
2020-04-09 11:24:20 UTC,72,15.36,,,,
2020-04-09 11:24:52 UTC,73,15.69,,,,
2020-04-09 11:25:24 UTC,74,15.76,,,,
2020-04-09 11:25:55 UTC,75,15.44,,,,
2020-04-09 11:26:27 UTC,76,15.81,,,,
2020-04-09 11:26:59 UTC,77,15.76,,,,
2020-04-09 11:27:30 UTC,78,15.6,,,,
2020-04-09 11:28:02 UTC,79,15.45,,,,
2020-04-09 11:28:34 UTC,80,15.39,,,,
2020-04-09 11:29:06 UTC,81,15.89,,,,
2020-04-09 11:29:37 UTC,82,15.55,,,,
2020-04-09 11:30:09 UTC,83,14.94,,,,
2020-04-09 11:30:41 UTC,84,15.1,,,,
2020-04-09 11:31:12 UTC,85,14.78,,,,
2020-04-09 11:31:44 UTC,86,15.82,,,,
2020-04-09 11:32:16 UTC,87,15.44,,,,
2020-04-09 11:32:48 UTC,88,15.44,,,,
2020-04-09 11:33:19 UTC,89,15.84,,,,
2020-04-09 11:33:51 UTC,90,15.84,,,,
2020-04-09 11:34:23 UTC,91,15.19,,,,
2020-04-09 11:34:55 UTC,92,15.0,,,,
2020-04-09 11:35:27 UTC,93,15.63,,,,
2020-04-09 11:35:59 UTC,94,15.65,,,,
2020-04-09 11:36:30 UTC,95,15.82,,,,
2020-04-09 11:37:02 UTC,96,15.79,,,,
2020-04-09 11:37:34 UTC,97,15.37,,,,
2020-04-09 11:38:05 UTC,98,15.21,,,,
2020-04-09 11:38:37 UTC,99,15.48,,,,
2020-04-09 11:39:09 UTC,100,14.82,,,,
2020-04-09 11:39:41 UTC,101,15.56,,,,
2020-04-09 11:40:12 UTC,102,15.39,,,,
2020-04-09 11:40:44 UTC,103,15.15,,,,
2020-04-09 11:41:16 UTC,104,15.37,,,,
2020-04-09 11:41:48 UTC,105,15.79,,,,
2020-04-09 11:42:20 UTC,106,15.44,,,,
2020-04-09 11:42:51 UTC,107,15.29,,,,
2020-04-09 11:43:23 UTC,108,15.71,,,,
2020-04-09 11:43:55 UTC,109,15.65,,,,
2020-04-09 11:44:26 UTC,110,15.77,,,,
2020-04-09 11:44:58 UTC,111,14.95,,,,
2020-04-09 11:45:30 UTC,112,15.61,,,,
2020-04-09 11:46:02 UTC,113,15.45,,,,
2020-04-09 11:46:34 UTC,114,15.08,,,,
2020-04-09 11:47:05 UTC,115,15.58,,,,
2020-04-09 11:47:37 UTC,116,15.87,,,,
